"filename", "language", "Properties", "Batch", "Python", "PowerShell", "Markdown", "PostCSS", "JavaScript", "XML", "C", "Shell Script", "Django HTML", "reStructuredText", "comment", "blank", "total"
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\click\formatting.py", "Python", 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 46, 302
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\click\globals.py", "Python", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 20, 68
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\click\parser.py", "Python", 0, 0, 310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 77, 532
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\click\shell_completion.py", "Python", 0, 0, 358, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 99, 604
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\click\termui.py", "Python", 0, 0, 347, 0, 0, 0, 0, 0, 0, 0, 0, 0, 371, 67, 785
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\click\testing.py", "Python", 0, 0, 311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 69, 484
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\click\types.py", "Python", 0, 0, 618, 0, 0, 0, 0, 0, 0, 0, 0, 0, 291, 185, 1094
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\click\utils.py", "Python", 0, 0, 295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 242, 88, 625
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\__init__.py", "Python", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 72
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\__main__.py", "Python", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\app.py", "Python", 0, 0, 1028, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1275, 250, 2553
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\blueprints.py", "Python", 0, 0, 398, 0, 0, 0, 0, 0, 0, 0, 0, 0, 223, 92, 713
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\cli.py", "Python", 0, 0, 641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 218, 196, 1055
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\config.py", "Python", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184, 31, 339
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\ctx.py", "Python", 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 185, 62, 439
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\debughelpers.py", "Python", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 29, 159
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\globals.py", "Python", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 108
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\helpers.py", "Python", 0, 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 400, 69, 706
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\json\__init__.py", "Python", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 188, 41, 343
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\json\provider.py", "Python", 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 53, 311
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\json\tag.py", "Python", 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 72, 313
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\logging.py", "Python", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 19, 75
"c:\مشروع صيانة البرمجيات\clinic_legacy_project\venv\lib\python3.9\site-packages\flask\scaffold.py", "Python", 0, 0, 341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 490, 106, 937
